P62888 P62888
Q969K4 O75382
Q5U5Z8 Q5U5Z8
Q659C4 Q659C4
P18077 Q15427
Q7Z6M3 Q8IUX1
P04264 P02533
P04004 P04004
Q02930 Q96EZ8
Q96K62 Q96Q04
O43889 O43889
Q9NX63 Q29RF7
O43167 O43167
Q8NBF6 Q8NBF6
Q92622 O00206
Q58FF6 Q5T7N2
Q8N6M6 Q96EB1
Q8NFA0 Q8N668
P31947 P31947
Q5TGZ0 Q14114
O00425 O00425
P27348 P27348
Q13427 Q13427
Q9Y6Y1 Q9Y6Y1
Q8WUQ7 Q8NBF6
Q9BSU1 Q9BSU1
P15586 Q0ZGT2
Q13200 Q13200
P51513 Q02641
O43684 Q10567
P61513 P61513
P78423 P19404
P34949 Q9NPA8
Q9Y5Q3 Q16534
Q64LD2 Q8IYX4
Q9BV38 Q9BV38
Q86X55 P09622
P50993 P50993
Q13542 Q9BQI0
O43865 Q9H6Y2
Q96MP8 Q8NFA0
Q9HC97 Q9HC97
P62913 Q9BRJ7
P35527 P02533
Q7L5D6 Q7L5D6
Q8WY54 Q96PC2
Q6ZVN8 Q6ZVN8
P13693 P51813
P16260 Q8TDM0
P23434 Q8WX94
Q13224 Q13224
Q2KJY2 O00154
Q92769 Q92769
P35908 P04264
O60568 O60568
Q96MT3 Q96MT3
Q8NB46 Q8NB46
Q9H3J6 Q9UBQ0
P18621 Q05519
P01213 Q8N6Q8
Q96EN8 Q96EN8
Q92615 O75534
Q9HC56 Q9HC56
Q8NFD5 Q8NFD5
P37231 P37231
Q99766 Q86XA9
O75368 Q71V34
Q14209 Q9H204
Q02641 Q6NUN7
Q3ZCM7 P51531
P98153 O94766
Q15233 Q15233
O95342 P21439
P55036 P35249
Q9H1Z9 Q9H1Z9
Q8IZX4 Q8IZX4
Q9H1X1 Q9H1X1
Q9HCD6 P51957
Q9NP80 O94766
Q8IZP6 Q9NWV4
P56945 P56945
Q9H1J1 Q8TB45
Q53GL7 Q13127
Q9Y2S7 Q9Y2S7
Q9NPE2 Q9NPE2
P61088 P61088
Q9Y2Z4 Q9Y2Z4
P32249 P02776
O60294 Q96PC2
Q92519 Q9UJT9
Q92610 Q01826
Q14093 Q5RKT7
Q5U5Q3 Q9HC44
Q86WP2 Q5T3U5
Q8N6M6 Q14789
Q8TAZ6 Q8TAZ6
Q8IYP9 Q8IYP9
P06703 P06703
Q13469 Q13469
Q96ST2 Q6P2H3
P27105 P27105
Q9UN86 P55209
Q15303 Q15303
Q9UI26 Q9UI26
O94992 P78549
O60287 O60287
P63010 P63010
P61247 P46777
Q99814 Q99814
Q99999 Q14644
Q6B0I6 Q6B0I6
Q8TES7 Q8TES7
Q9Y5F2 Q9Y5F2
Q9NUX5 Q9NUX5
Q96T76 O00410
Q8WYA6 Q9BRX9
O43593 O60477
Q9BPZ7 P51531
O15442 Q64LD2
Q9Y450 Q9UKX7
Q8WYQ3 Q8WYQ3
O15145 O75688
Q14525 P58107
A6NNY8 A6NNY8
P16083 P06132
Q8IX03 Q96ST2
P46736 P46736
Q6NZY4 Q9Y450
Q8WU10 Q8WU10
O14524 Q8TDB6
O95749 Q86X76
Q02818 O95619
Q6DCA0 Q9H2J4
O15205 O15205
Q8IZQ1 Q8IZQ1
Q92499 Q9BXP5
Q9NR96 P00709
Q9NSA3 Q9ULB4
Q9P2P5 Q9P2P5
O00562 P53602
Q9UBQ0 Q9UBQ0
Q9Y279 Q9Y279
Q9ULB4 Q9NSA3
Q9NYS0 Q9NYS0
P11234 O43526
Q02447 Q9NY65
P49640 P54792
O96001 P11168
Q02447 Q02447
P28161 P28161
