A0A0G2JTA1 Q9QZC5
Q9Z2J4 Q9Z2J4
Q66HP6 Q2M1K7
D3ZLB7 Q6P771
A0A140TAI2 F1LMD6
A0A0G2KAW9 A0A0G2K7F0
Q8CJ99 P21571
Q64542 B2RYD0
Q7TSL3 Q7TSL3
F1M8I5 F1M8I5
Q63068 Q63068
Q5XI29 G3V700
F1LMG2 Q62711
P82458 Q99MA1
D3ZQL0 D3ZQL0
H9KVF3 H9KVF3
D4A7E7 P15207
A0A0H2UHG1 A0A0H2UHG1
F1M957 B1H244
Q75Q41 Q75Q41
P48508 F1LXJ9
Q6I7R5 Q6I7R5
Q924U5 A0A0G2K6E5
D3ZFY0 D3ZFY0
Q6AYL9 Q6AYL9
D3Z9L0 D3Z9L0
D3ZGD0 D3ZGD0
Q5XIB8 D4A4A8
A0A0G2K8J2 A0A0G2K8J2
D3ZKV7 A0A0G2K4P0
D3ZW24 D3ZLB7
D3Z962 D3Z962
M0RCV5 M0RCV5
Q5XIT9 F1M9V7
A0A0G2JZ04 A0A0G2JZ04
Q9WTT7 D3ZCS4
D3ZCP9 D3ZCP9
F1LRE2 Q9QYJ2
A0A0G2K4C8 A0A0G2K4C8
D3Z9Z5 F1M7U0
F1M9V7 F1M9V7
Q6IRK3 Q6IRK3
F1LQP9 D3ZQI6
A0A0G2KAW9 A0A0G2KAW9
D4A6K4 D4A6K4
Q5XIT9 Q5XHZ9
Q5U3Y7 D3ZWF4
Q6P791 O70185
M0RBF8 Q6P9X1
D4A1R0 E9PT83
A0A0G2JZ34 A0A0U1RRP3
A0A0G2JTR4 P39950
Q3MJK5 D4A629
D3ZQB7 D3ZDZ0
Q6IRG9 Q64270
D4A895 E9PTU9
B0K014 F1M944
M0R975 D3ZRD9
F1LRM5 D4AE24
Q6PED1 Q6PED1
A0A0G2K0N1 F1M8E7
Q32WR5 Q32WR5
D4AAV9 D4AAV9
A0A0G2K864 D3ZQL7
M0RCH9 A0A140UHY1
D4A1R0 Q5XI17
F1LPJ5 M0R583
A0A0U1RRQ0 A0A0U1RRQ0
M0RAC2 M0RAC2
F1LNP1 Q642E5
F1M473 F1M473
Q6PCT9 Q6PCT9
F1LV10 F1LWJ6
E9PT99 A0A0H2UHN1
B5DF09 B0BN49
G3V8A5 G3V8A5
B1WCA0 P08082
D4ACS3 D4ACS3
F1LNT5 Q5U3Y7
M0R476 Q66H06
Q5FVN2 Q5FVN2
B2RYK0 B2RYK0
M0RDF7 E9PTF0
B1WBN7 B1WBN7
P51638 P51638
F1LMM5 A0A0G2JUC3
E9PU01 F1LXF5
Q66HB1 Q66HB1
D3ZU21 D3ZU21
P50430 G3V6J7
F1M9G6 D4A4T6
F1MAK9 D3ZTT7
G3V920 G3V920
M0R6D8 O09018
D4AAM0 D4AAM0
P48508 D4A9Y0
D3ZCQ7 P18864
E9PSK7 B1H2A2
Q56R17 Q56R17
P11507 P62703
F1LRM5 A0A0H2UHT3
Q63120 Q6MGD2
A0JPK9 M0R4S2
H1UBN0 D3ZTP9
Q6MGD2 Q8CJ99
Q4G073 A0A0H2UHF3
A0A0H2UHG0 A0A0H2UHG0
A0A140TAA8 A0A140TAA8
D4A552 A0A0G2K016
Q642B0 D4AE99
A0A0G2JTY4 D4AE24
A0A0G2JWJ0 F1LRE1
A0A0G2K1V9 G3V8W6
A0A0U1RRQ0 F1LNK0
P10037 F1M972
Q6MG49 Q6MG49
E9PU28 Q6P3V8
D4ACP8 D4ACP8
D4A3S8 F7EPZ4
B1WBR1 B1WBR1
A0A0G2K016 A0A0G2K016
Q3B7V0 Q3B7V0
